=== DECILE_WINRATE_REPORT ===
Generated: 2026-03-29 14:10:06
ST   ATR    Vol    RSI    ADX    EMA    BBW    R_BSP  B_BSP  RT_BSP S_BSP  Total    Wins   Win Rate   PnL       
10M  70     10     70     40     10     60     -1     0      0      0      1        1      100.0% 0.14      
10M  70     10     70     40     30     20     1      0      1      1      1        0      0.0% -0.12     
10M  70     10     70     40     30     40     -1     0      0      0      1        0      0.0% -0.09     
10M  70     10     70     60     10     60     -1     0      0      0      1        1      100.0% 0.19      
10M  70     10     80     50     60     60     1      0      0      0      1        0      0.0% -0.35     
10M  70     10     80     70     50     30     0      0      0      0      1        0      0.0% -0.18     
10M  70     10     90     50     70     20     1      0      -1     -1     1        0      0.0% -0.11     
10M  70     10     90     70     70     60     -1     0      -1     -1     1        0      0.0% -0.23     
10M  70     10     100    50     40     30     1      0      0      0      1        1      100.0% 0.16      
10M  70     20     50     10     20     30     -1     -1     1      1      1        0      0.0% -0.17     
10M  70     20     50     10     20     40     0      1      -1     -1     1        0      0.0% -0.07     
10M  70     20     50     30     20     40     0      0      0      0      1        0      0.0% -0.17     
10M  70     20     70     10     80     40     1      0      0      0      1        0      0.0% -0.20     
10M  70     30     50     40     30     50     0      0      1      1      1        0      0.0% -0.22     
10M  70     30     70     40     60     50     0      0      0      0      1        0      0.0% -0.17     
10M  70     50     70     30     60     70     0      0      0      0      1        1      100.0% 0.27      
10M  70     80     60     10     20     60     -1     0      0      0      1        0      0.0% -0.16     
10M  90     10     20     40     60     30     0      0      0      0      1        0      0.0% -0.39     
10M  90     10     40     30     60     40     -1     0      0      0      1        0      0.0% -0.15     
10M  90     10     50     30     10     50     1      0      0      0      1        0      0.0% -0.11     
10M  90     10     50     30     50     40     -1     -1     0      0      1        0      0.0% -0.14     
10M  90     10     80     10     30     40     1      0      0      0      1        0      0.0% -0.19     
10M  90     10     90     30     70     50     0      0      0      0      1        0      0.0% -0.36     
10M  90     10     90     70     60     10     1      1      0      0      1        0      0.0% -0.08     
10M  100    10     40     40     50     50     1      -1     0      0      1        0      0.0% -0.13     
10M  100    10     50     10     40     100    0      0      0      0      1        1      100.0% 0.57      
10M  100    10     50     20     70     30     0      -1     0      0      1        0      0.0% -0.14     
10M  100    10     50     50     20     30     1      0      0      0      1        0      0.0% -0.13     
10M  100    10     60     30     10     100    0      0      0      0      1        0      0.0% -0.24     
10M  100    10     60     30     20     50     0      0      -1     -1     1        1      100.0% 0.21      
10M  100    10     80     100    60     100    0      0      0      0      1        1      100.0% 0.34      
10M  100    10     90     60     80     100    1      0      0      0      1        0      0.0% -0.18     
10M  100    50     40     20     50     60     1      0      0      0      1        0      0.0% -0.27     
10M  100    50     60     70     30     10     1      1      1      1      1        0      0.0% -0.05     
10M  100    50     70     30     70     90     -1     0      1      1      1        1      100.0% 0.21      
10M  100    100    60     30     20     50     1      1      0      0      1        0      0.0% -0.33     
15M  10     10     10     40     10     10     -1     0      0      0      1        0      0.0% -0.04     
15M  10     10     50     50     10     20     0      0      0      0      1        0      0.0% -0.01     
15M  20     10     30     50     20     10     0      0      0      0      1        0      0.0% -0.06     
15M  20     10     30     70     30     20     0      0      0      0      1        0      0.0% -0.14     
15M  20     10     50     20     10     10     0      0      1      1      1        0      0.0% -0.10     
15M  20     10     60     10     20     20     -1     0      0      0      1        0      0.0% -0.23     
15M  20     10     60     20     20     10     1      0      0      0      1        0      0.0% -0.21     
15M  30     10     10     100    80     60     0      0      0      0      1        1      100.0% 0.10      
15M  30     10     20     50     40     50     -1     0      0      0      1        1      100.0% 0.13      
15M  30     10     20     60     10     60     0      0      0      0      1        0      0.0% -0.20     
15M  30     10     20     60     70     90     0      -1     0      0      1        0      0.0% -0.08     
15M  30     10     20     90     50     40     0      0      -1     -1     1        0      0.0% -0.41     
15M  30     10     20     100    60     60     -1     0      0      0      1        1      100.0% 0.13      
15M  30     10     30     40     30     20     -1     0      0      0      1        0      0.0% -0.31     
15M  30     10     30     70     40     30     0      0      0      0      1        1      100.0% 0.10      
